genome_id_or_key	taxon_rank	taxon_name	release_category	action	curation_basis	evidence_source	non_overrideable_risks	manual_review_required	version
Prob150_Bacillus_amyloliquefaciens_BA11	strain_or_genome_key	Bacillus amyloliquefaciens	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob151_Bacillus_amyloliquefaciens_BA40	strain_or_genome_key	Bacillus amyloliquefaciens	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob163_Bacillus_amyloliquefaciens_TL106	strain_or_genome_key	Bacillus amyloliquefaciens	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob195_Bacillus_velezensis_LOH112	strain_or_genome_key	Bacillus velezensis	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob293_Bacillus_velezensis_ZBG17	strain_or_genome_key	Bacillus velezensis	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob312_Shouchella_clausii_ATCC_700160	strain_or_genome_key	Shouchella clausii	recoverable_fermentation_niche_release	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob317_Bacillus_licheniformis_B4	strain_or_genome_key	Bacillus licheniformis	recoverable_fermentation_niche_release	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob347_Bacillus_velezensis_K1	strain_or_genome_key	Bacillus velezensis	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob436_Bacillus_velezensis_JT3-1	strain_or_genome_key	Bacillus velezensis	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob550_Bacillus_velezensis_V4	strain_or_genome_key	Bacillus velezensis	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob66_Bacillus_velezensis_BVM7	strain_or_genome_key	Bacillus velezensis	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob682_Bacillus_amyloliquefaciens_DSM_7	strain_or_genome_key	Bacillus amyloliquefaciens	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
Prob69_Bacillus_velezensis_FS26	strain_or_genome_key	Bacillus velezensis	recoverable_taxon_prior_only	priority_if_no_non_overrideable_risk	QPS_or_fermentation_niche_release_candidate_from_expert_roadmap	EFSA_QPS_or_species_specific_expert_review_required_before_regulatory_use	host_directed_toxin_critical; mobile_AMR_critical; invasive_virulence_unambiguous	True	release_exception_v2_I35_v1_20260527
